tên_sản_phẩm,giá_hiện_tại,giá_gốc,khuyến_mãi,đánh_giá,link_sản_phẩm,brand_id,series,genre_name,công_nghệ_cpu,số_nhân,số_luồng,tốc_độ_cpu,bộ_nhớ đệm,ram,tốc_độ_bus_ram,màn_hình,độ_phân_giải,công_nghệ_màn_hình,đồ_họa,webcam,kích_thước,thông_tin_pin,hệ_điều_hành,cổng_giao_tiếp,kết_nối_không_dây,tính_năng,tốc_độ_tối_đa,loại_ram,ram_tối_đa,ổ_cứng,tần_số_quét,card_màn_hình,âm_thanh,chất_liệu,ra_mắt,đèn,bluetooth,năm_sản_xuất,đèn_bàn_phím,vỏ_nhựa,tên_hãng,nguồn_bán
HP Pavilion X360 14 ek0132TU i7 1255U (7C0W4PA),23.490.000₫,26.990.000₫,-12%,14,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek0132tu-i7-7c0w4pa,1,Pavilion,Laptop,Intel Core i7 Alder Lake,10,12,1.70 GHz,12 MB,,3200 MHz,14 inch,,,Intel Iris Xe Graphics,HP TrueVision 5 MP,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.51 kg,,,,,,,,,,,,,,2022,,,,,,HP,TGDD
HP Pavilion 15 eg3091TU i7 1355U (8C5L2PA),22.690.000₫,25.290.000₫,-10%,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3091tu-i7-8c5l2pa,1,Pavilion,Laptop,Intel Core i7 Raptor Lake - 1355U,10,12,1.70 GHz,12 MB,32 GB,3200 MHz,15.6 inch,,,Intel Iris Xe Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm - Nặng 1.69 kg,45 W,,,Bluetooth 5.3,,,,,,,,,Vỏ kim loại - Nắp lưng bằng nhựa,2023,,,,,,HP,TGDD
HP Pavilion 15 eg2088TU i7 1260P (7C0R0PA),22.090.000₫,25.290.000₫,-12%,15,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2088tu-i7-7c0r0pa,1,Pavilion,Laptop,Intel Core i7 Alder Lake,12,16,2.10 GHz,18 MB,32 GB,3200 MHz,15.6 inch,,BrightView,Intel Iris Xe Graphics,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm,"3 cell, 41.04 Wh",,,,,,,,,,,,,2022,,,,,,HP,TGDD
HP Pavilion 14 dv2071TU i7 1255U (7C0W0PA),21.490.000₫,25.190.000₫,-14%,,https://www.thegioididong.com/laptop/hp-pavilion-14-dv2071tu-i7-7c0w0pa,1,Pavilion,Laptop,Intel Core i7 Alder Lake,10,12,1.70 GHz,12 MB,32 GB,3200 MHz,14 inch,,,Intel Iris Xe Graphics,,Dài 325 mm - Rộng 216.6 mm - Dày 17 mm - Nặng 1.41 kg,65 W,,,Bluetooth 5.3,,,,,512 GB SSD NVMe PCIe,,,Audio by B&O,,2023,,,,,,HP,TGDD
HP Pavilion X360 14 ek1048TU i5 1335U (80R26PA),20.590.000₫,22.890.000₫,-10%,7,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1048tu-i5-80r26pa,1,Pavilion,Laptop,Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz,12 MB,,3200 MHz,14 inch,,,Intel Iris Xe Graphics,Camera 5.0 MP,Dài 322 mm - Rộng 210 mm - Dày 19.9 mm - Nặng 1.53 kg,65 W,,,,,,,,,,,Audio by B&O,Vỏ kim loại - Nắp lưng bằng nhựa,2023,,,,,,HP,TGDD
HP Pavilion 15 eg2034TX i7 1255U (6K780PA),20.390.000₫,24.590.000₫,-17%,10,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2034tx-i7-6k780pa,1,Pavilion,Laptop,Intel Core i7 Alder Lake,10,12,1.70 GHz,12 MB,32 GB,,,,,,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,65 W,,,,,,,,,,NVIDIA GeForce MX550,Không có đèn,,2022,,,,,,HP,TGDD
HP Pavilion 15 eg3033TX i5 1335U (8U6L6PA),20.290.000₫,22.290.000₫,-8%,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3033tx-i5-8u6l6pa,1,Pavilion,Laptop,Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz,3200 MHz,32 GB,3200 MHz,15.6 inch,Full HD (1920 x 1080),,Card rời,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,65 W,Windows 11 Home SL,"1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort), HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm",Bluetooth 5.3,,12 MB,DDR4,16 GB,512 GB SSD NVMe PCIe,,NVIDIA GeForce MX550 2 GB,,Vỏ kim loại - Nắp lưng bằng nhựa,,,,,,,HP,TGDD
HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA),18.790.000₫,21.290.000₫,-11%,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa,1,Pavilion,Laptop,Intel Core i5 Raptor Lake - 1335U,,,1.30 GHz,12 MB,32 GB,,15.6 inch,Full HD (1920 x 1080),,Intel Iris Xe,,Dài 360.2 mm - Rộng 234 mm - Dày 18 mm - Nặng 1.69 kg,45 W,Windows 11 Home SL,,,,,,,,,,,Vỏ kim loại - Nắp lưng bằng nhựa,,,,,,,HP,TGDD
HP Pavilion 15 eg3095TU i5 1335U (8C5L6PA),17.890.000₫,19.990.000₫,-10%,,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3095tu-i5-8c5l6pa,1,Pavilion,Laptop,Intel Core i5 Raptor Lake - 1335U,10,12,1.30 GHz,3200 MHz,32 GB,3200 MHz,15.6 inch,Full HD (1920 x 1080),,Intel Iris Xe,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,45 W,Windows,"1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort), HDMI, 2 x USB 3.2, Jack tai nghe 3.5 mm",,,12 MB,DDR4,32 GB,512 GB SSD NVMe PCIe,,Intel Iris Xe,,Vỏ kim loại - Nắp lưng bằng nhựa,,,,,,,HP,TGDD
HP Pavilion 15 eg2062TX i5 1235U (7C0W7PA),17.390.000₫,20.590.000₫,-15%,11,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2062tx-i5-7c0w7pa,1,Pavilion,Laptop,Intel Core i5 Alder Lake,10,12,1.30 GHz,12 MB,32 GB,3200 MHz,15.6 inch,,,NVIDIA GeForce MX550,,Dài 360.2 mm - Rộng 234 mm - Dày 17.9 mm - Nặng 1.74 kg,"3 cell, 41.04 Wh",,,,,,,,,,2 GB,,,2022,,,,,,HP,TGDD
